Guid,Element_Id,Type,Level,Date,Time,Version,Model
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca0d,379405,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca0e,379406,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca0f,379407,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca10,379408,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca11,379409,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca12,379410,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca13,379411,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca14,379412,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca15,379413,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca16,379414,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca17,379415,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca18,379416,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca19,379417,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca1a,379418,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca1b,379419,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
6e8ade1c-5453-4ca3-b218-4f6cd1c6322f-0005ca1c,379420,Road,TOR,August 01, 2023 09:26 AM,V30,PLE-TR-G12-HLD
